Nama Tempat,Latitude,Longitude,Alamat OSM
"SDN 14 Belanti, Padang",,,TIDAK DITEMUKAN
"SDN 14 Belanti, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"DPRD Sumatera Barat, Padang",-0.9069741,100.3518794,"DPRD Sumatera Barat, Jl Khatib Sulaiman , Lolong Belanti , Padang utara , Sumatera Barat, Ulak Karang, Padang, Sumatera Barat, Sumatera, 25134, Indonesia"
"DPRD Sumatera Barat, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u2705' in position 0: character maps to <undefined>
"Dinas PSDA Sumatera Barat, Padang",,,TIDAK DITEMUKAN
"Dinas PSDA Sumatera Barat, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"Villa Hadis, Padang",,,TIDAK DITEMUKAN
"Villa Hadis, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
Sekolah Al Azhar 32 Padang,,,TIDAK DITEMUKAN
Sekolah Al Azhar 32 Padang,ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"Swalayan SJS, Padang",,,TIDAK DITEMUKAN
"Swalayan SJS, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
"SD 20 Berok Belanti, Padang",,,TIDAK DITEMUKAN
"SD 20 Berok Belanti, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
Institut Teknologi Padang,,,TIDAK DITEMUKAN
Institut Teknologi Padang,ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
SMPN 12 Padang,-3.6006120,114.7069387,"Jalan Komplek SMPN 1 Bati-bati, DUSUN 1 DESA PADANG KEC. BATI BATI, BATAS DESA PADANG KEC. BATI BATI, Tanah Laut, Kalimantan Selatan, Kalimantan, 70852, Indonesia"
SMPN 12 Padang,ERROR,ERROR,'charmap' codec can't encode character '\u2705' in position 0: character maps to <undefined>
"Mesjid Muhsinin, Padang",,,TIDAK DITEMUKAN
"Mesjid Muhsinin, Padang",ERROR,ERROR,'charmap' codec can't encode character '\u274c' in position 0: character maps to <undefined>
